hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.697917,0.800000,0.272727,0.026349,0.180000,0.021611,-1
0.645833,0.700000,0.454545,0.079046,0.560000,0.025000,-1
0.322917,0.066667,0.727273,0.041405,0.120000,0.010235,-1
0.656250,0.733333,0.454545,0.026349,0.120000,0.020872,-1
0.270833,0.366667,0.181818,0.048934,0.120000,0.014933,-1
0.958333,0.866667,0.181818,0.018821,0.160000,0.012919,-1
0.791667,0.233333,0.545455,0.033877,0.260000,0.017953,-1
0.718750,0.900000,0.454545,0.026349,0.180000,0.010235,-1
0.916667,0.366667,0.181818,0.244668,3.480000,0.118289,-1
0.666667,0.333333,1.000000,0.011292,0.060000,0.010235,-1
0.843750,0.300000,0.000000,0.056462,0.420000,0.030940,-1
0.208333,0.166667,0.000000,0.086575,0.380000,0.020302,-1
0.197917,0.833333,0.818182,0.086575,0.440000,0.023658,-1
0.781250,0.933333,0.818182,0.086575,0.760000,0.027685,-1
0.937500,0.100000,0.454545,0.018821,0.140000,0.013926,-1
0.437500,0.466667,1.000000,0.003764,0.020000,0.004866,-1
0.791667,0.766667,0.181818,0.026349,0.160000,0.014597,-1
0.375000,0.300000,0.545455,0.086575,0.460000,0.023658,-1
0.791667,0.833333,0.454545,0.131744,1.480000,0.062919,-1
0.562500,0.266667,0.000000,0.048934,0.240000,0.014933,-1
0.500000,0.200000,0.363636,0.063990,0.220000,0.019631,-1
0.322917,0.200000,0.272727,0.048934,0.200000,0.014262,-1
0.854167,0.300000,0.818182,0.048934,0.080000,0.017282,-1
0.604167,0.766667,0.727273,0.041405,0.200000,0.012248,-1
0.843750,0.500000,0.363636,0.026349,0.080000,0.018054,-1
0.375000,0.733333,0.272727,0.033877,0.080000,0.009564,-1
0.635417,0.333333,0.181818,0.003764,0.000000,0.004866,-1
0.906250,0.733333,0.454545,0.109159,1.000000,0.040436,-1
0.916667,0.900000,0.181818,0.041405,0.260000,0.018658,-1
0.864583,0.366667,0.909091,0.079046,1.000000,0.046980,-1
0.604167,0.900000,0.090909,0.131744,0.760000,0.038758,-1
0.822917,0.966667,0.363636,0.026349,0.060000,0.008221,-1
0.552083,0.600000,0.727273,0.146801,0.680000,0.037752,-1
0.604167,0.533333,1.000000,0.079046,0.240000,0.021644,-1
0.916667,0.133333,0.454545,0.109159,2.120000,0.076678,-1
0.281250,0.233333,1.000000,0.086575,0.360000,0.027013,-1
0.291667,0.366667,0.636364,0.003764,0.020000,0.004866,-1
0.614583,0.633333,0.181818,0.094103,0.420000,0.029732,-1
0.708333,0.133333,0.363636,0.094103,0.580000,0.029698,-1
0.791667,0.900000,0.818182,0.003764,0.020000,0.005872,-1
